#Projectile Motion Simulation Data
#Validation Type: With Magnus Effect
#Initial Position (m): (0, 0, 10)
#Initial Velocity (m/s): (15, 5, 15)
#Initial Spin (rad/s): (-20, -40, 20)
#Diameter (m): 0.04
#Mass (kg): 0.0027
#Drag Coefficient: 0.5
#Air Density (kg/m^3): 1.27
#Final Time (s): 4.517
#Final Position (m): (17.2285, 8.24716, 0.000772679)

Time,X,Y,Z
0.416,2.55231,2.35761,13.9153
0.417,2.55337,2.36334,13.9203
0.418,2.55441,2.36908,13.9252
0.419,2.55544,2.37481,13.9302
0.42,2.55646,2.38053,13.9351
0.421,2.55746,2.38626,13.94
0.422,2.55845,2.39199,13.9449
0.423,2.55943,2.39771,13.9498
0.424,2.56039,2.40343,13.9547
0.425,2.56134,2.40915,13.9595
0.426,2.56228,2.41487,13.9643
0.427,2.5632,2.42059,13.9691
0.428,2.56411,2.4263,13.9739
0.429,2.56501,2.43201,13.9787
0.43,2.56589,2.43773,13.9834
0.431,2.56676,2.44343,13.9881
0.432,2.56762,2.44914,13.9929
0.433,2.56846,2.45485,13.9975
0.434,2.5693,2.46055,14.0022
0.435,2.57011,2.46625,14.0069
0.436,2.57092,2.47195,14.0115
0.437,2.57171,2.47765,14.0161
0.438,2.57249,2.48335,14.0207
0.439,2.57326,2.48904,14.0253
0.44,2.57401,2.49473,14.0299
0.441,2.57476,2.50043,14.0344
0.442,2.57549,2.50611,14.039
0.443,2.5762,2.5118,14.0435
0.444,2.57691,2.51749,14.048
0.445,2.5776,2.52317,14.0524
0.446,2.57828,2.52885,14.0569
0.447,2.57894,2.53453,14.0613
0.448,2.5796,2.5402,14.0658
0.449,2.58024,2.54588,14.0702
0.45,2.58087,2.55155,14.0745
0.451,2.58149,2.55722,14.0789
0.452,2.58209,2.56289,14.0833
0.453,2.58269,2.56856,14.0876
0.454,2.58327,2.57422,14.0919
0.455,2.58384,2.57989,14.0962
0.456,2.5844,2.58555,14.1005
0.457,2.58494,2.5912,14.1047
0.458,2.58548,2.59686,14.109
0.459,2.586,2.60251,14.1132
0.46,2.58651,2.60817,14.1174
0.461,2.58701,2.61382,14.1216
0.462,2.58749,2.61946,14.1258
0.463,2.58797,2.62511,14.1299
0.464,2.58843,2.63075,14.134
0.465,2.58888,2.63639,14.1382
0.466,2.58932,2.64203,14.1423
0.467,2.58975,2.64767,14.1463
0.468,2.59017,2.65331,14.1504
0.469,2.59057,2.65894,14.1544
0.47,2.59097,2.66457,14.1585
0.471,2.59135,2.6702,14.1625
0.472,2.59172,2.67582,14.1665
0.473,2.59208,2.68145,14.1704
0.474,2.59243,2.68707,14.1744
0.475,2.59277,2.69269,14.1783
0.476,2.5931,2.6983,14.1823
0.477,2.59341,2.70392,14.1862
0.478,2.59372,2.70953,14.19
0.479,2.59401,2.71514,14.1939
0.48,2.59429,2.72075,14.1978
0.481,2.59457,2.72635,14.2016
0.482,2.59483,2.73195,14.2054
0.483,2.59508,2.73755,14.2092
0.484,2.59532,2.74315,14.213
0.485,2.59555,2.74875,14.2167
0.486,2.59576,2.75434,14.2205
0.487,2.59597,2.75993,14.2242
0.488,2.59617,2.76552,14.2279
0.489,2.59635,2.77111,14.2316
0.49,2.59653,2.77669,14.2353
0.491,2.5967,2.78227,14.2389
0.492,2.59685,2.78785,14.2426
0.493,2.59699,2.79343,14.2462
0.494,2.59713,2.799,14.2498
0.495,2.59725,2.80457,14.2534
0.496,2.59737,2.81014,14.2569
0.497,2.59747,2.81571,14.2605
0.498,2.59756,2.82127,14.264
